key,title,venue,year,official,source
pryzant-etal-2023-automatic,Automatic Prompt Optimization with ``Gradient Descent'' and Beam Search,Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing,2023,True,https://aclanthology.org/2023.emnlp-main.494.bib
agrawal2026gepa,GEPA: Reflective Prompt Evolution Can Outperform Reinforcement Learning,ICLR 2026 Oral,2026,True,https://openreview.net/forum?id=RQm2KQTM5r
zhang2025aflow,AFlow: Automating Agentic Workflow Generation,ICLR 2025 Oral,2025,True,https://openreview.net/forum?id=z5uVAKwmjf
yuan-etal-2025-dolphin,"Dolphin: Moving Towards Closed-loop Auto-research through Thinking, Practice, and Feedback",ACL,2025,True,acl_anthology
turcan2026tusoai,TusoAI: Agentic Optimization for Scientific Methods,ICLR,2026,True,openreview
Yang_2025_CVPR,NADER: Neural Architecture Design via Multi-Agent Collaboration,CVPR,2025,True,cvf
ji2025rznas,RZ-NAS: Enhancing LLM-guided Neural Architecture Search via Reflective Zero-Cost Strategy,ICML,2025,True,openreview
pmlr-v235-zeng24b,tnGPS: Discovering Unknown Tensor Network Structure Search Algorithms via Large Language Models (LLMs),ICML,2024,True,pmlr
aglietti2025funbo,FunBO: Discovering Acquisition Functions for Bayesian Optimization with FunSearch,ICML,2025,True,openreview
tao_survey2024,A Survey on Self-Evolution of Large Language Models,arXiv preprint,2024,False,https://arxiv.org/abs/2404.14387
gao2026a,"A Survey of Self-Evolving Agents: What, When, How, and Where to Evolve on the Path to Artificial Super Intelligence",Transactions on Machine Learning Research,2026,True,supplemental_sources/gao_survey.bib
fang_survey2025,A Comprehensive Survey of Self-Evolving AI Agents: A New Paradigm Bridging Foundation Models and Lifelong Agentic Systems,arXiv preprint,2025,False,https://arxiv.org/abs/2508.07407
chen_survey2026,Recursive Self-Improvement in AI: From Bounded Self-Refinement to Autonomous Research Loops,arXiv preprint,2026,False,https://arxiv.org/abs/2607.07663
wang2026diving,Diving into Reliable Self-Evolving Agents: A Survey,OpenReview Archive preprint,2026,False,https://openreview.net/forum?id=CGO1hDTHNe
wu2026ai4ai,"AI4AI Survey: From Long-Horizon Agents to Recursive Self-Improvement---Definitions, Reliable Horizons, and Open Problems",Preprints.org preprint,2026,False,https://www.preprints.org/manuscript/202608.2108
lee2025selfimproving,Self-Improving Transformers Overcome Easy-to-Hard and Length Generalization Challenges,ICML,2025,True,openreview
kamoi2024evaluating,Evaluating LLMs at Detecting Errors in LLM Responses,COLM,2024,True,openreview
chiang-lee-2023-closer,A Closer Look into Using Large Language Models for Automatic Evaluation,Findings of EMNLP,2023,True,acl_anthology
hsu-etal-2023-gpt,GPT-4 as an Effective Zero-Shot Evaluator for Scientific Figure Captions,Findings of EMNLP,2023,True,acl_anthology
chen2024are,Are We on the Right Way for Evaluating Large Vision-Language Models?,NeurIPS,2024,True,openreview
huang2025is,"Is Best-of-N the Best of Them? Coverage, Scaling, and Optimality in Inference-Time Alignment",ICML,2025,True,openreview
farquhar2025mona,MONA: Myopic Optimization with Non-myopic Approval Can Mitigate Multi-step Reward Hacking,ICML,2025,True,openreview
zhou2026alignment,Alignment Risks from Capability-Seeking RL Training,ICML,2026,True,openreview
yu2025selfverifying,Self-Verifying Reflection Helps Transformers with CoT Reasoning,NeurIPS,2025,True,openreview
wang2025beyond,Beyond Accuracy: Dissecting Mathematical Reasoning for LLMs Under Reinforcement Learning,NeurIPS,2025,True,openreview
cho2026forget,Forget Forgetting: Continual Learning in a World of Abundant Memory,ICLR,2026,True,openreview
dorovatas2026position,Position: Modular Memory is the Key to Continual Learning Agents,ICML,2026,True,openreview
tang2024code,Code Repair with LLMs gives an Exploration-Exploitation Tradeoff,NeurIPS,2024,True,openreview
wang2026depth,Depth over Fidelity in Fixed-Budget Noisy Evolution Strategies,ICML,2026,True,openreview
xu2024wizardlm,WizardLM: Empowering Large Pre-Trained Language Models to Follow Complex Instructions,ICLR 2024 poster,2024,True,https://openreview.net/forum?id=CfXh93NDgH
